timestamp,mocap_x_m,mocap_y_m,mocap_z_m,mocap_yaw,ui_target_yaw,controller_final_yaw,proposed_vx,proposed_vy,proposed_yaw_rate,safe_vx,safe_vy,safe_yaw_rate
1785522175.0628092,0.5921714477539063,0.25586398315429687,0.40308523559570314,0.791752075936247,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.11232,0.5921505126953125,0.2560491943359375,0.40305499267578127,0.7916411179303481,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.1623168,0.5924324951171875,0.256212158203125,0.40297021484375,0.7910439082900937,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.2123122,0.5923447265625,0.2559469451904297,0.40298483276367186,0.7913654767910081,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.2626326,0.5921724853515625,0.255835205078125,0.40310580444335936,0.7914168303778453,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.3128307,0.5922836303710938,0.2561412353515625,0.4030214538574219,0.7916070362745314,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.3623595,0.5924462890625,0.25629568481445314,0.4029327697753906,0.7911824743191516,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.4129055,0.592377197265625,0.25608645629882815,0.4030265197753906,0.7913776394720842,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.4629352,0.5923838500976563,0.255978759765625,0.4030140380859375,0.7913082889689222,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.5128288,0.5921400756835937,0.2558284759521484,0.40299658203125,0.7917832141430357,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.5623136,0.5922584228515625,0.25610968017578123,0.4029420471191406,0.7916796181199112,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.6123033,0.592424560546875,0.2562262573242188,0.4033287353515625,0.7908311914800632,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.6633606,0.5923473510742188,0.2559854278564453,0.4029993591308594,0.7916536223812616,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.712831,0.59212353515625,0.25577061462402345,0.40315325927734375,0.7914778801801933,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.7628005,0.5923047485351562,0.25597792053222657,0.40300942993164063,0.7913938804079889,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.8123274,0.592203369140625,0.2561470031738281,0.4030152587890625,0.7911561973948943,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.8627362,0.5924688110351563,0.2562703857421875,0.4033139038085938,0.7908415011014394,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.9123254,0.5922586059570313,0.25594975280761717,0.40301654052734376,0.7920100508138941,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522175.9628606,0.5921866455078125,0.2558575897216797,0.40306298828125003,0.791047313985125,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.0123105,0.592427490234375,0.2561056823730469,0.4032506103515625,0.790304203425865,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.062381,0.5923857421875001,0.25630065917968753,0.40299511718750003,0.7912444595514977,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.1128597,0.5923983764648437,0.25605767822265624,0.4029192810058594,0.7918781993890968,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.1629636,0.5922431030273437,0.25589024353027345,0.4030405883789063,0.79165698738751,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.2123177,0.5921700439453125,0.25590423583984373,0.40305950927734374,0.791393648113925,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.2623146,0.5923729858398438,0.2562044677734375,0.40297802734375,0.791552030911425,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.312861,0.5924374389648438,0.25609869384765627,0.4029443359375,0.7914524190609843,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.362586,0.5922333374023437,0.2559396209716797,0.40308279418945314,0.7917685210079538,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.4123197,0.59212158203125,0.255850830078125,0.4030304870605469,0.7920029596518467,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.4627872,0.5921930541992187,0.25601605224609375,0.40303533935546876,0.7913847695352468,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.5123408,0.5924151000976563,0.25627374267578124,0.403289794921875,0.7910125722272183,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.562338,0.5923934936523437,0.2560556640625,0.40298046875,0.7920953967885426,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.6123197,0.5922039794921875,0.25569781494140625,0.40299871826171874,0.7919090385956519,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1785522176.6623662,0.5921150512695312,0.2560159301757813,0.4030533447265625,0.7914859225887657,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
