run_id,csv_file,category,manifest_target_body_x_m,manifest_target_body_y_m,target_body_x_m,target_body_y_m,target_frame_conversion_applied,target_yaw_rad,position_tolerance_m,yaw_tolerance_rad,initial_x_world_m,initial_y_world_m,initial_yaw_rad,initial_raw_mocap_yaw_rad,final_x_world_m,final_y_world_m,final_yaw_rad,final_raw_mocap_yaw_rad,heading_offset_rad,heading_offset_deg,final_body_x_m,final_body_y_m,final_position_error_m,final_yaw_error_rad,max_position_error_m,target_hit_time_s,movement_duration_s,travelled_distance_m,path_length_m,final_cross_track_error_m,rms_cross_track_error_m,max_cross_track_error_m,max_safe_vx_mps,max_safe_vy_mps,max_safe_yaw_rate_radps,sample_count,duration_s,sample_rate_hz,motion_start_s,motion_end_s,final_commands_zero,pass
1,forward_50cm(1).csv,forward_50cm,0.5,0.0,0.5,0.0,False,nan,0.08,nan,0.8415698730468749,-0.5995231628417967,1.645835220313712,-0.07505942215269702,0.7782079010009766,-0.15103035354614258,1.740922222032729,0.020027579566319995,1.7208946424664089,98.6,0.4519808585177677,0.029560835999592732,0.0563886599741957,nan,0.5000470509173156,7.449985504150391,7.699983596801758,0.5631590378411334,0.5631590378411334,0.029560835999592732,0.023928382244060048,0.03578784058349422,0.15,0.0,0.0,450,22.45005965232849,20.000400551234794,3.800013303756714,11.499996900558472,True,True
2,forward_50cm(2).csv,forward_50cm,0.5,0.0,0.5,0.0,False,nan,0.08,nan,0.7071023864746093,-0.242137979888916,1.8501473843768634,0.1292527419104546,0.529589389038086,0.17352647705078125,1.9827189835638257,0.2618243410974168,1.7208946424664089,98.6,0.4484970472879244,0.05601967150819333,0.07609702841733167,nan,0.5001750426181533,8.449609756469727,8.699622631072998,0.5719390720219875,0.5719390720219875,0.05601967150819333,0.04056271541249375,0.05682059561984858,0.15,0.0,0.0,510,25.44993305206299,20.000877418862597,9.900359153747559,18.599981784820557,True,True
3,forward_50cm(3).csv,forward_50cm,0.5,0.0,0.5,0.0,False,nan,0.08,nan,0.4915659393310546,-0.8340669219970703,1.5128148572454485,-0.20807978522096007,0.5000138442993165,-0.3093169006347657,1.653284823333817,-0.06760981913259163,1.7208946424664089,98.6,0.5243577503459844,0.021975023781338133,0.03280551283104229,nan,0.5001128442888488,11.550003051757812,11.750003099441528,0.8016120708628078,0.8016120708628078,0.021975023781338133,0.04307493323193226,0.10636968674072124,0.1,0.1,0.0,618,30.850059509277344,19.999256161699,7.250038385391235,19.000041484832764,True,True
4,backward_50cm(1).csv,backward_50cm,-0.5,0.0,-0.5,0.0,False,nan,0.08,nan,0.475768148803711,0.5707534606933595,1.571244119813226,-0.14965052265318307,0.4938754623413087,0.09923804092407226,1.6169450894698632,-0.10394955299654578,1.7208946424664089,98.6,-0.471523480823797,-0.017896170416220096,0.03363309471278323,nan,0.5000474548745716,4.100840330123901,4.3499979972839355,0.5464342481344748,0.5464342481344748,0.017896170416220096,0.029295617090127332,0.061753779685103566,0.1,0.1,0.0,348,17.349980354309082,19.99916080181572,8.69998812675476,13.049986124038696,True,True
5,backward_50cm(2).csv,backward_50cm,-0.5,0.0,-0.5,0.0,False,nan,0.08,nan,0.6162286437988282,0.11830621490478513,2.0023632810717507,0.281468638605342,0.8637544403076172,-0.3010380233764648,2.041619625546586,0.3207249830801768,1.7208946424664089,98.6,-0.48443386259672144,-0.049421077351803615,0.05181454931069751,nan,0.49991776504997376,4.150914907455444,4.349991083145142,0.5659373709828054,0.5659373709828054,0.049421077351803615,0.0499942083472058,0.08432168778214523,0.1,0.1,0.0,393,19.60001492500305,20.000495922941205,9.600010633468628,13.95000171661377,True,True
6,backward_50cm(3).csv,backward_50cm,-0.5,0.0,-0.5,0.0,False,nan,0.08,nan,0.4941121719360352,0.09837529258728028,1.6172247927238397,-0.10366984974256906,0.5326473999023438,-0.4023860824584961,1.6732885654207934,-0.04760607704561541,1.7208946424664089,98.6,-0.5020102395796833,-0.015252471580078086,0.01538437364564495,nan,0.4999904219541851,4.300073623657227,4.55002236366272,0.5906880611424752,0.5906880611424752,0.015252471580078086,0.039305153919565634,0.08572679154583071,0.1,0.1,0.0,252,12.550023078918457,19.99935152249168,3.0999956130981445,7.650017976760864,True,True
7,left_30cm(1).csv,lateral_left_30cm,0.0,0.3,0.0,0.3,False,nan,0.08,nan,0.7831086334228516,-0.25238891754150394,1.7217424720055376,0.0008478295391288736,0.5356026153564454,-0.34169717407226563,1.7754094829134077,0.054514840446998836,1.7208946424664089,98.6,-0.05107438663685933,0.2581212906625898,0.0660486129006407,nan,0.30024363002370846,3.6500401496887207,3.900078535079956,0.3707852029995893,0.3707852029995893,0.05107438663685933,0.0504456615320322,0.08131527626362944,0.1,0.1,0.0,244,12.148380756378174,20.00431153717747,2.4483931064605713,6.348471641540527,True,True
8,left_30cm(2).csv,lateral_left_30cm,0.0,0.3,0.0,0.3,False,nan,0.08,nan,0.5416626831054688,-0.20134804153442382,1.6498859965162431,-0.0710086459501661,0.29496790771484377,-0.2658554306030273,1.7105661117431656,-0.010328530723243178,1.7208946424664089,98.6,-0.04481506781137867,0.25102016880430283,0.06638835867000673,nan,0.3002049861130541,3.649932861328125,3.849999189376831,0.3740195831984661,0.3740195831984661,0.04481506781137867,0.043597493499942366,0.0725991822329298,0.1,0.1,0.0,371,18.50030016899109,19.99916080181572,5.199523687362671,9.049522876739502,True,True
9,left_30cm(3).csv,lateral_left_30cm,0.0,0.3,0.0,0.3,False,nan,0.08,nan,0.5356232482910157,-0.3416738784790038,1.7757034192650165,0.054808776798607614,0.29564219970703126,-0.4322428131103516,1.816476304940744,0.09558166247433511,1.7208946424664089,98.6,-0.03984379175631942,0.25338924179649985,0.06131957698668593,nan,0.30025547333568525,3.5500240325927734,3.7500510215759277,0.3584470847583985,0.3584470847583985,0.03984379175631942,0.039899848249358424,0.07476234919461823,0.1,0.1,0.0,222,11.051404237747192,19.999828340096414,2.199357748031616,5.949408769607544,True,True
10,right_30cm(1).csv,lateral_right_30cm,0.0,-0.3,0.0,-0.3,False,nan,0.08,nan,0.8710659423828127,-0.3679516876220703,1.9866045262715595,0.2657098838051501,1.1439503967285156,-0.301546044921875,2.0312877594491177,0.310393116982709,1.7208946424664089,98.6,-0.04947882383082792,-0.27645520577174154,0.05479517627431394,nan,0.30003278899302005,3.1999876499176025,3.450119733810425,0.3555349349104125,0.3555349349104125,0.04947882383082792,0.04730816067108505,0.07650209656230608,0.1,0.1,0.0,250,12.449945449829102,20.00011444157281,6.349970102310181,9.800089836120605,True,True
